,0,1
0,Sembawang North,13
1,Tai Seng,2
2,Frankel,26
3,Braddell,5
4,Hougang West,7
5,Woodlands East,3
6,Upper Thomson,2
7,Serangoon Garden,5
8,Bedok North,3
9,Geylang Bahru,4
10,Kampong Ubi,11
11,Loyang East,3
12,Everton Park,2
13,Tampines East,9
14,Sembawang Hills,2
15,Aljunied,60
16,Kembangan,2
17,Pasir Ris Drive,2
18,Tampines West,15
19,Pasir Ris West,3
20,Sembawang Central,24
21,Bayshore,2
22,Katong,20
23,Macpherson,5
24,Bendemeer,2
25,Geylang East,7
26,North Coast,2
27,Gali Batu,2
28,Marine Parade,2
29,Yuhua East,2
30,Mountbatten,10
31,Yew Tee,5
32,Balestier,3
33,Rivervale,2
34,Yishun East,2
35,Senoko South,11
36,Lavender,2
37,Hougang East,3
38,Northland,2
39,Lorong Chuan,4
40,Kaki Bukit,11
41,Bukit Batok South,2
