Source,Target,Weight
Yishun South,Hillview,11
Little India,Geylang East,62
Yishun South,Clementi West,6
Holland Road,Jurong Gateway,49
Potong Pasir,Pasir Ris Drive,16
Kampong Ubi,Holland Road,23
Macpherson,Gali Batu,9
Robertson Quay,North Coast,21
Rivervale,Chinatown,27
Commonwealth,Yio Chu Kang West,2
Woodgrove,Lower Seletar,36
Redhill,Marina East,2
Matilda,Pearl's Hill,74
Toa Payoh West,Yishun East,8
Saujana,Toa Payoh Central,21
Singapore General Hospital,Jelebu,17
Kian Teck,Benoi Sector,111
Bangkit,North Coast,76
Margaret Drive,Wenya,5
Dairy Farm,Hillview,129
Woodlands East,Yishun South,167
Mandai East,Tampines North,7
Tampines West,Dunearn,6
Rivervale,Mountbatten,21
Yishun East,Compassvale,22
Teck Whye,Maritime Square,34
Kallang Bahru,Kaki Bukit,45
Bedok Reservoir,Sentosa,25
Kembangan,Cheng San,18
Yew Tee,Bangkit,23
Mount Pleasant,Reservoir View,1
Saujana,Pulau Punggol Timor,2
Yishun South,Fajar,6
Mackenzie,Anak Bukit,30
Loyang West,Tampines East,105
Bedok Reservoir,Waterway East,18
Toa Payoh Central,Malcolm,31
Waterway East,Hougang West,59
Toa Payoh Central,Pasir Ris Wafer Fab Park,11
Rochor Canal,Marine Parade,53
North Coast,Rochor Canal,127
Mei Chin,Lorong 8 Toa Payoh,5
Kebun Bahru,Punggol Field,10
Loyang West,Flora Drive,5
Guilin,Yishun West,31
Tampines West,Kampong Java,56
Ridout,Commonwealth,31
Yuhua East,Clementi Central,43
Lavender,Pasir Ris Central,68
Dhoby Ghaut,Katong,9
Kembangan,Saujana,5
Macpherson,Changi Airport,78
Ang Mo Kio Town Centre,Kranji,13
Tai Seng,Ang Mo Kio Town Centre,20
Changi Airport,Siglap,61
Pandan,Joo Koon,12
Yuhua West,Woodlands East,40
Townsville,Bedok South,10
Ridout,Tyersall,47
Ghim Moh,Singapore General Hospital,23
Joo Seng,Upper Thomson,43
Woodleigh,Maritime Square,57
Braddell,Kallang Way,16
Farrer Park,Nee Soon,17
Taman Jurong,Joo Seng,21
Farrer Court,Kembangan,4
Yew Tee,City Hall,54
Institution Hill,Tampines East,15
Tuas Bay,Liu Fang,4
Macpherson,Lorong Ah Soo,72
Teban Gardens,Balestier,18
Woodlands Regional Centre,Liu Fang,8
Aljunied,Yew Tee,69
Marina East,City Hall,21
Hougang Central,Joo Seng,37
Dairy Farm,Fajar,30
Gali Batu,Teck Whye,47
