Source,Target,Weight
Yuhua West,Woodlands East,37
Farrer Park,Boon Keng,33
Dairy Farm,Clementi West,6
Bedok North,Yishun East,39
Jurong West Central,Tampines North,7
Robertson Quay,North Coast,15
Loyang West,Tampines East,237
Telok Blangah Rise,Penjuru Crescent,3
Tampines West,Kebun Bahru,16
West Coast,Pandan,35
International Business Park,Chinatown,8
Tiong Bahru,Kian Teck,9
Boon Lay Place,Gul Circle,51
Marina Centre,Singapore General Hospital,20
Lavender,Pasir Ris Central,63
Kian Teck,Benoi Sector,162
Tuas Promenade,Joo Koon,84
Sembawang Central,Yuhua East,13
Saujana,Pulau Punggol Timor,5
Pandan,Joo Koon,15
Woodlands East,Yishun South,124
Senja,Bedok South,4
Central Subzone,Bishan East,36
Tengeh,Taman Jurong,36
Kent Ridge,Kallang Bahru,8
Little India,City Hall,23
North Coast,Rochor Canal,140
Kampong Ubi,Bedok South,83
Braddell,Kallang Way,29
Little India,Geylang East,40
Tai Seng,Ang Mo Kio Town Centre,17
Tampines West,Chatsworth,17
Joo Seng,Upper Thomson,66
North Coast,Bedok North,142
Bencoolen,Singapore General Hospital,14
Dover,Hong Kah North,9
Macpherson,Changi Airport,82
Bukit Batok East,Aljunied,14
Commonwealth,Marine Parade,7
Changi West,Bedok South,34
Waterway East,Hougang West,31
Potong Pasir,Jelebu,11
Bencoolen,Punggol Field,19
Aljunied,Yew Tee,48
Chinatown,Boat Quay,31
Kallang Bahru,Kaki Bukit,72
Lorong Halus,Kampong Bugis,6
Central Subzone,Ang Mo Kio Town Centre,18
Dairy Farm,Hillview,98
Yishun South,Bukit Ho Swee,8
Hougang Central,Joo Seng,62
Senja,Holland Road,20
Woodlands Regional Centre,Compassvale,8
Clementi West,Mountbatten,8
Changi Airport,City Terminals,41
Sennett,Upper Thomson,20
Kampong Tiong Bahru,Changi West,4
Bukit Batok South,Woodlands East,40
Balestier,Xilin,56
Saujana,Toa Payoh Central,13
City Terminals,Balestier,13
Rivervale,Central Subzone,105
Kranji,Northland,28
Tai Seng,Pei Chun,17
Bukit Merah,Marina Centre,29
Lorong Ah Soo,City Terminals,20
Balestier,Kembangan,60
Kovan,Hougang Central,70
Anak Bukit,Leonie Hill,6
Dairy Farm,Fajar,17
Bangkit,North Coast,61
Little India,Bangkit,28
Kampong Tiong Bahru,Chong Boon,7
Wenya,Fort Canning,6
Hillview,Pearl's Hill,41
Macpherson,Lorong Ah Soo,63
Gali Batu,Teck Whye,69
Woodlands South,Serangoon Central,20
Woodleigh,Maritime Square,47
Plab,Geylang East,21
Hong Kah North,Anak Bukit,68
City Terminals,Pasir Ris Wafer Fab Park,3
Balestier,Lakeside,7
Ghim Moh,Singapore General Hospital,34
Penjuru Crescent,Hong Kah North,16
Lim Chu Kang,City Terminals,6
Victoria,Siglap,20
Senoko South,Yunnan,20
Matilda,Pearl's Hill,107
Chatsworth,China Square,14
Ridout,Commonwealth,17
Lorong Chuan,Dhoby Ghaut,30
Toa Payoh Central,Bukit Batok West,17
Wenya,Nassim,10
Bukit Merah,Maritime Square,61
Changi Point,Townsville,2
Kebun Bahru,Singapore General Hospital,15
Tampines West,Kampong Java,61
Townsville,Holland Road,6
Waterway East,Lakeside,2
Yishun East,Compassvale,18
Kembangan,Cheng San,19
Northland,Jurong Island and Bukom,14
Yio Chu Kang North,Kian Teck,2
Singapore General Hospital,Jelebu,40
Anak Bukit,Dairy Farm,80
Margaret Drive,Macpherson,14
Bukit Batok West,Singapore General Hospital,20
Bedok Reservoir,Sentosa,13
Telok Blangah Drive,Tuas View Extension,6
Springleaf,Rivervale,4
Aljunied,Kovan,70
Senoko South,Brickworks,1
Yew Tee,City Hall,40
Braddell,Tanglin,9
Tai Seng,Woodlands East,47
Kallang Way,Western Water Catchment,27
Institution Hill,Tampines East,13
National University of S'pore,Seletar,2
Taman Jurong,Joo Seng,29
Yuhua East,Clementi Central,26
Townsville,Bedok South,11
Marina East,City Hall,13
Seletar,Kovan,4
Yew Tee,Bangkit,32
Yishun South,Fajar,9
Waterway East,Xilin,61
Cairnhill,Pasir Ris Drive,17
Fajar,Gombak,12
Mackenzie,Anak Bukit,38
Boat Quay,Telok Blangah Way,3
Bayshore,Clementi West,6
Yew Tee,Geylang East,51
Changi Airport,Siglap,58
Teck Whye,Maritime Square,20
Coronation Road,Bukit Batok Central,11
Port,Pasir Panjang 2,44
Upper Thomson,Yew Tee,31
Rochor Canal,Marine Parade,35
Bukit Merah,Alexandra North,4
Lim Chu Kang,Bedok Reservoir,2
People's Park,Istana Negara,1
The Wharves,Pasir Ris West,1
Mei Chin,Lorong 8 Toa Payoh,6
Holland Road,Jurong Gateway,70
Ang Mo Kio Town Centre,Kranji,3
Reservoir View,Boon Lay Place,11
Pasir Panjang 1,Katong,6
Bukit Ho Swee,Central Subzone,38
Loyang West,Flora Drive,15
Teban Gardens,Balestier,15
Redhill,Tengeh,5
Pearl's Hill,Teck Whye,19
Clementi West,Central Subzone,10
Senoko South,Swiss Club,13
Tanglin Halt,Fort Canning,7
Ang Mo Kio Town Centre,Kampong Java,15
Cheng San,Anak Bukit,20
Tampines North,Airport Road,4
Seletar Hills,Ghim Moh,4
Boon Keng,Tanjong Pagar,19
Dover,Frankel,20
Rivervale,Mountbatten,15
Marymount,Alexandra Hill,36
City Terminals,Anson,23
Tampines West,Choa Chu Kang North,14
Toa Payoh Central,Malcolm,38
Dunearn,Dover,8
Tagore,Jurong Gateway,10
Kampong Ubi,Holland Road,27
Boon Keng,Senoko South,22
Raffles Place,Clementi Woods,20
Chinatown,Seletar Hills,7
Tanjong Rhu,Serangoon Garden,31
Leonie Hill,Goodwood Park,8
Toh Tuck,Serangoon Garden,11
Redhill,Marina East,2
Kangkar,Shangri-La,8
Geylang Bahru,Punggol Field,11
Bangkit,Mandai East,4
Alexandra North,Punggol Field,4
Mandai East,Pasir Ris West,3
Sengkang West,Matilda,13
Teban Gardens,Midview,7
Yuhua West,Pei Chun,1
Toa Payoh Central,Anson,9
Robertson Quay,Orange Grove,3
Pang Sua,Tagore,11
Woodlands South,Bukit Batok Central,19
Tanjong Pagar,Defu Industrial Park,3
Sungei Road,Tampines West,1
Ridout,Tyersall,32
Ghim Moh,Punggol Field,2
Yuhua West,Bishan East,19
Tampines West,Dunearn,6
Margaret Drive,Wenya,14
Bayshore,Bukit Ho Swee,4
Tanjong Pagar,Sennett,4
Sembawang North,Yio Chu Kang West,18
Teban Gardens,Central Water Catchment,10
Dover,Fernvale,4
Sengkang West,Reservoir View,5
Bukit Batok Central,Cecil,10
Tanglin Halt,Nassim,28
Depot Road,Sennett,1
Phillip,Bendemeer,18
Northland,Tai Seng,24
Central Water Catchment,Toh Guan,4
Marymount,Upper Paya Lebar,10
Ridout,Holland Drive,31
Sennett,Rochor Canal,7
Kampong Java,Guilin,15
Toh Tuck,Upper Paya Lebar,4
Farrer Park,Bras Basah,11
Yio Chu Kang,Yuhua East,8
Senoko South,Kampong Ubi,45
Sembawang North,Marine Parade,8
Sennett,Bedok North,19
Bugis,Sennett,10
Simei,Tagore,16
Sembawang Central,People's Park,3
China Square,Hong Kah North,8
Mandai East,Tampines North,9
Choa Chu Kang Central,Hougang West,4
Marine Parade,Braddell,10
Swiss Club,Tuas View,4
Compassvale,Benoi Sector,3
Woodgrove,Institution Hill,11
Senoko North,Defu Industrial Park,2
Serangoon Garden,Pasir Panjang 2,20
Guilin,Yishun West,28
Clementi Central,Khatib,4
Serangoon North Ind Estate,Pang Sua,4
Punggol Field,Bukit Batok Central,6
Tuas Bay,Liu Fang,7
Clarke Quay,Bukit Batok South,11
Pioneer Sector,Tanglin,1
Pasir Ris West,People's Park,1
Victoria,Bedok Reservoir,8
Macpherson,Gali Batu,11
Kebun Bahru,Punggol Field,9
Redhill,Sunset Way,2
Boon Lay Place,Pulau Punggol Timor,3
West Coast,Tuas Promenade,8
Boat Quay,Springleaf,2
Ang Mo Kio Town Centre,Chatsworth,3
Mount Emily,Clementi Central,2
Keat Hong,Holland Drive,12
Telok Blangah Way,Kembangan,3
Macpherson,Mackenzie,4
Kembangan,Saujana,2
Dairy Farm,Bukit Ho Swee,10
Lorong Ah Soo,Siglap,8
Xilin,Lorong Halus North,3
Clementi Woods,Marymount,6
Greenwood Park,Balestier,7
Woodlands Regional Centre,Changi Point,3
Changi West,Holland Road,2
City Hall,Defu Industrial Park,7
Farrer Park,Nee Soon,2
Yishun Central,Clarke Quay,11
Bayshore,Telok Blangah Drive,14
Woodgrove,Lower Seletar,21
Townsville,Sembawang East,2
Potong Pasir,Pasir Ris Drive,12
Tiong Bahru Station,Sembawang North,6
Cairnhill,Jelebu,3
Kampong Java,Penjuru Crescent,5
Kaki Bukit,Faber,6
Somerset,Keat Hong,17
Choa Chu Kang Central,Xilin,24
Punggol Field,Lorong Halus North,9
Plab,City Hall,2
Coronation Road,Serangoon Central,11
Pasir Ris Wafer Fab Park,Penjuru Crescent,1
Sengkang Town Centre,Goodwood Park,5
Yew Tee,Depot Road,5
Alexandra Hill,Crawford,28
Compassvale,Mandai East,5
Chong Boon,Pasir Panjang 2,12
Woodlands East,Telok Blangah Way,8
Redhill,Tuas Bay,4
Marina South,Lakeside,1
Brickworks,Bedok North,4
Monk's Hill,Kampong Ubi,3
Jelebu,City Terminals,13
Dunearn,Macpherson,6
Reservoir View,Victoria,5
Dhoby Ghaut,Katong,7
Oxley,Liu Fang,1
Alexandra North,Singapore General Hospital,2
Sengkang Town Centre,Toh Guan,16
Newton Circus,Sunset Way,2
Jurong Gateway,Liu Fang,9
Bangkit,Benoi Sector,7
Defu Industrial Park,Lorong 8 Toa Payoh,6
Pang Sua,Paya Lebar East,1
Nassim,Boat Quay,10
Pasir Ris Drive,Kampong Glam,6
Greenwood Park,Yishun Central,6
Central Water Catchment,Potong Pasir,13
Mount Pleasant,Matilda,7
Rivervale,Chinatown,25
Paya Lebar East,People's Park,2
Kangkar,Telok Blangah Drive,6
Robertson Quay,Simei,12
Jurong West Central,Pasir Ris West,11
Upper Paya Lebar,Tampines North,6
Tengah,Tyersall,1
Kampong Glam,Central Water Catchment,8
