"original address",latitude,longitude
"Siglap singapore",1.313867,103.923031
"Kampong Glam singapore",1.302974,103.859875
"Sembawang Hills singapore",1.375948,103.830428
"Admiralty singapore",1.44069,103.800934
"Geylang Bahru singapore",1.320865,103.871243
"Sembawang Springs singapore",1.434525,103.82334
"Lorong Chuan singapore",1.351661,103.862914
"Bedok North singapore",1.323604,103.927341
"Bendemeer singapore",1.320128,103.864913
"Hougang Central singapore",1.371227,103.891751
"Pasir Ris West singapore",1.373006,103.949245
"Mountbatten singapore",1.306306,103.882531
"Compassvale singapore",1.394564,103.900156
"Shangri-La singapore",1.369787,103.83305
"Hougang West singapore",1.361218,103.886253
"Crawford singapore",1.306287,103.864965
"Kampong Bugis singapore",1.307249,103.866188
"Katong singapore",1.307786,103.895483
"Kebun Bahru singapore",1.374301,103.840267
"Jurong West Central singapore",1.338075,103.741191
"Sembawang North singapore",1.449111,103.818495
"Aljunied singapore",1.316441,103.88298
"Fernvale singapore",1.391935,103.876142
"Seletar Hills singapore",1.38522,103.874912
"Yishun West singapore",1.430368,103.835363
"Woodlands East singapore",1.438192,103.78896
"Upper Thomson singapore",1.372933,103.828509
"Serangoon Garden singapore",1.363667,103.867009
"Tampines East singapore",1.349591,103.956788
"Frankel singapore",1.31656,103.917849
"Kembangan singapore",1.320982,103.912842
"Trafalgar singapore",1.352083,103.819836
"Tampines West singapore",1.349591,103.956788
"Simei singapore",1.339919,103.949471
"Sembawang Central singapore",1.421245,103.824888
"Geylang East singapore",1.320054,103.891775
"Sengkang Town Centre singapore",1.386812,103.891443
"Balestier singapore",1.323004,103.852305
"Khatib singapore",1.417366,103.832945
"Serangoon Central singapore",1.351049,103.87306
"Bedok South singapore",1.323604,103.927341
"Yishun East singapore",1.430368,103.835363
"Northland singapore",1.436491,103.842121
"Kaki Bukit singapore",1.336235,103.907189
"Kallang Bahru singapore",1.317974,103.866587
