,subzone,cases,normalize by sum,normalize by max,lon,lat,area,population,pop_density
0,Admiralty,2,0.002873563,0.019047619,103.872642,1.37430497,0.688032273,14410,20943.7850018
1,Airport Road,0,0.0,0.0,103.8778216,1.39436937,2.402725083,0,0.0
2,Alexandra Hill,0,0.0,0.0,103.7831661,1.327545147,3.409322179,15650,4590.35526076
3,Alexandra North,0,0.0,0.0,103.8459368,1.384564118,0.913841205,1000,1094.28202026
4,Aljunied,45,0.064655172,0.428571429,103.7081117,1.318587972,2.350210137,41710,17747.3492022
5,Anak Bukit,0,0.0,0.0,103.8177066,1.446502632,0.967143822,21990,22737.052649
6,Anchorvale,0,0.0,0.0,103.6875566,1.316263427,2.052499702,38040,18533.4984278
7,Ang Mo Kio Town Centre,0,0.0,0.0,103.7477558,1.384213183,1.102634704,5020,4552.73172683
8,Anson,0,0.0,0.0,103.7885211,1.418237629,4.408535417,80,18.1466161509
9,Balestier,2,0.002873563,0.019047619,103.8753729,1.301240027,2.446354207,32340,13219.6719132
10,Bangkit,0,0.0,0.0,103.8981762,1.375360858,0.846759217,23800,28107.1637866
11,Bayfront Subzone,0,0.0,0.0,104.0294315,1.338059508,1.815397844,0,0.0
12,Bayshore,0,0.0,0.0,103.6321377,1.259379081,27.84395407,7480,268.640006416
13,Bedok North,2,0.002873563,0.019047619,103.8379018,1.264955267,3.466258059,85930,24790.4219874
14,Bedok Reservoir,0,0.0,0.0,103.8245813,1.464596147,1.643823248,25400,15451.7829279
15,Bedok South,2,0.002873563,0.019047619,103.8317306,1.283235809,0.450289947,51190,113682.307014
16,Bencoolen,0,0.0,0.0,103.8128462,1.268322164,2.714990746,1460,537.755055759
17,Bendemeer,2,0.002873563,0.019047619,103.7417864,1.304642213,3.064444823,33830,11039.5200286
18,Benoi Sector,0,0.0,0.0,103.728686,1.319310405,2.573384318,0,0.0
19,Bidadari,0,0.0,0.0,103.9193863,1.407058604,1.27208775,10,7.86109291596
20,Bishan East,0,0.0,0.0,104.0021593,1.351334483,35.26592903,28820,817.21936137
21,Boat Quay,0,0.0,0.0,103.7022221,1.307374558,1.950064453,180,92.3046413789
22,Boon Keng,0,0.0,0.0,103.7248434,1.18609505,2.753963589,10970,3983.34968691
23,Boon Lay Place,0,0.0,0.0,103.8394762,1.38242791,0.850255237,31100,36577.2519199
24,Boon Teck,0,0.0,0.0,103.8275607,1.24900114,5.785765191,15110,2611.58196041
25,Boulevard,0,0.0,0.0,103.8474348,1.410917374,8.494520361,400,47.089180201
26,Braddell,0,0.0,0.0,103.8913092,1.369332851,0.443876437,10760,24240.980379
27,Bras Basah,0,0.0,0.0,103.7163988,1.256789215,32.51981843,10,0.307504791933
28,Brickworks,0,0.0,0.0,103.7784504,1.202854561,2.199063531,0,0.0
29,Bugis,0,0.0,0.0,103.8472216,1.228940738,3.292671485,2330,707.632088599
30,Bukit Batok Central,0,0.0,0.0,104.0074278,1.389102316,57.18692143,26060,455.698599406
31,Bukit Batok East,0,0.0,0.0,103.7106935,1.34607864,0.910707446,14570,15998.5515261
32,Bukit Batok South,0,0.0,0.0,103.6448491,1.317995929,3.218768761,13940,4330.84854336
33,Bukit Batok West,0,0.0,0.0,103.8849887,1.327210654,1.269524838,15190,11965.1065858
34,Bukit Ho Swee,0,0.0,0.0,103.8974615,1.39144181,1.462589953,16290,11137.7764948
35,Bukit Merah,0,0.0,0.0,103.8468292,1.284363479,0.133648242,1190,8903.97046899
36,Cairnhill,0,0.0,0.0,103.8776836,1.42465144,2.06005498,3330,1616.4617121
37,Cecil,0,0.0,0.0,103.8759814,1.340950957,0.575276945,160,278.126911552
38,Central Subzone,0,0.0,0.0,103.8514647,1.324511639,1.935949488,480,247.940353287
39,Central Water Catchment,0,0.0,0.0,103.7741923,1.377238257,0.76689422,10,13.0396079918
40,Changi Airport,0,0.0,0.0,103.8534381,1.351766598,1.803165381,0,0.0
41,Changi Bay,0,0.0,0.0,103.8109106,1.428844724,7.271139272,0,0.0
42,Changi Point,0,0.0,0.0,103.7774801,1.29685268,1.764429376,790,447.736821176
43,Changi West,0,0.0,0.0,103.7781092,1.312183431,0.95122892,1740,1829.21267785
44,Chatsworth,0,0.0,0.0,103.8551039,1.284967072,0.2631062,5740,21816.2855911
45,Cheng San,0,0.0,0.0,103.8305861,1.4323868,1.525180515,29770,19519.0010017
46,Chin Bee,0,0.0,0.0,103.8584013,1.282965858,0.523716636,0,0.0
47,China Square,0,0.0,0.0,103.7712579,1.337743053,2.781762582,1590,571.580051543
48,Chinatown,0,0.0,0.0,103.9528087,1.353547387,4.360866597,11880,2724.22917229
49,Choa Chu Kang Central,0,0.0,0.0,103.8161395,1.455765245,1.401694571,21400,15267.2347049
50,Choa Chu Kang North,0,0.0,0.0,103.7464725,1.375269733,1.1493752,34380,29911.9034411
51,Chong Boon,0,0.0,0.0,103.846851,1.42781558,1.775721115,27900,15711.9267008
52,City Hall,0,0.0,0.0,103.7970707,1.316065213,2.059464442,60,29.1337877831
53,City Terminals,0,0.0,0.0,103.7134855,1.335526159,1.294184363,40,30.9074975278
54,Clarke Quay,0,0.0,0.0,103.817015,1.287639671,0.389298779,130,333.933747067
55,Clementi Central,0,0.0,0.0,103.6511983,1.326764411,3.275898838,13490,4117.95377913
56,Clementi North,0,0.0,0.0,103.866375,1.413100892,3.639499935,28730,7893.94161646
57,Clementi West,0,0.0,0.0,103.8374542,1.306255375,0.454658407,16470,36224.9982546
58,Clementi Woods,0,0.0,0.0,103.8485652,1.285161663,0.039628309,16400,413845.566814
59,Clifford Pier,0,0.0,0.0,103.8641662,1.34910494,1.185850241,0,0.0
60,Commonwealth,0,0.0,0.0,103.8447402,1.289776318,0.291585081,8130,27882.0849548
61,Compassvale,2,0.002873563,0.019047619,103.7449336,1.43105189,3.300171384,18510,5608.79961863
62,Coney Island,0,0.0,0.0,103.8542014,1.292967899,0.714000196,0,0.0
63,Coronation Road,0,0.0,0.0,103.8596168,1.30239568,0.172161438,6170,35838.4552991
64,Crawford,16,0.022988506,0.152380952,103.856074,1.299226251,0.281529254,9740,34596.7598806
65,Dairy Farm,0,0.0,0.0,103.902939,1.371106755,1.34001168,5390,4022.35299919
66,Defu Industrial Park,0,0.0,0.0,103.8653525,1.314549381,0.843550181,20,23.7093186042
67,Depot Road,0,0.0,0.0,103.8466554,1.332948668,1.112630534,5200,4673.60893046
68,Dhoby Ghaut,0,0.0,0.0,103.7273656,1.362468981,7.406328832,210,28.3541285789
69,Dover,0,0.0,0.0,103.8666088,1.362911459,3.037828571,13200,4345.20898447
70,Dunearn,0,0.0,0.0,103.7809842,1.450862077,2.462771213,3900,1583.5819338
71,East Coast,0,0.0,0.0,103.799745,1.304928233,0.312014812,0,0.0
72,Everton Park,0,0.0,0.0,103.8571668,1.340612769,0.441777828,9010,20394.8668968
73,Faber,0,0.0,0.0,103.8315551,1.447647479,0.761830771,4320,5670.55068454
74,Fajar,0,0.0,0.0,103.6924053,1.381525664,71.82417695,26770,372.715722432
75,Farrer Court,0,0.0,0.0,103.8082258,1.332542681,2.649253285,4680,1766.53550889
76,Farrer Park,0,0.0,0.0,103.7944321,1.277551372,0.857319601,3130,3650.91384397
77,Fernvale,5,0.007183908,0.047619048,103.7510717,1.348211169,0.804177584,35590,44256.3939957
78,Flora Drive,0,0.0,0.0,103.8579844,1.337000239,0.413398375,12950,31325.715782
79,Fort Canning,0,0.0,0.0,103.9290401,1.38848145,5.351322121,160,29.8991532153
80,Frankel,105,0.150862069,1.0,103.7985731,1.288938828,0.634689982,33570,52891.9645056
81,Gali Batu,0,0.0,0.0,103.8036947,1.29386105,0.752298195,130,172.803817507
82,Geylang Bahru,84,0.120689655,0.8,103.7678359,1.302294064,1.05858515,12870,12157.7371457
83,Geylang East,20,0.028735632,0.19047619,103.7821388,1.315661152,1.234429618,33380,27040.8288276
84,Ghim Moh,0,0.0,0.0,103.9359427,1.348218496,3.492053845,11900,3407.73668683
85,Gombak,0,0.0,0.0,103.8896174,1.385668822,1.09853379,9820,8939.1879334
86,Goodwood Park,0,0.0,0.0,103.6343326,1.30515702,5.703157003,910,159.560748463
87,Greenwood Park,0,0.0,0.0,103.7636073,1.356205067,2.000445995,70,34.9921968276
88,Guilin,0,0.0,0.0,103.9115292,1.359340159,7.068941267,13130,1857.42100607
89,Gul Basin,0,0.0,0.0,103.9081221,1.302466976,1.165622749,20,17.1582100788
90,Gul Circle,0,0.0,0.0,103.8321121,1.305113366,0.462776619,30,64.8260926942
91,Henderson Hill,0,0.0,0.0,103.7427347,1.332834649,0.557308647,12870,23093.1281423
92,Hillcrest,0,0.0,0.0,103.8097286,1.276477075,1.461843201,8810,6026.63814695
93,Hillview,0,0.0,0.0,103.855832,1.434178567,2.157568609,18220,8444.69090067
94,Holland Drive,0,0.0,0.0,103.8020617,1.441315534,2.56594592,14230,5545.71313802
95,Holland Road,0,0.0,0.0,103.7209418,1.334253193,1.49148377,10280,6892.46521268
96,Hong Kah,0,0.0,0.0,103.7483292,1.326765692,0.487372316,56870,116686.97243
97,Hong Kah North,0,0.0,0.0,103.82846,1.333768948,3.158177581,28340,8973.52959837
98,Hougang Central,17,0.024425287,0.161904762,103.8877,1.343051528,1.804767841,4830,2676.24449543
99,Hougang East,0,0.0,0.0,103.8202075,1.277519861,0.27816173,21940,78874.9767986
100,Hougang West,17,0.024425287,0.161904762,103.9012556,1.408808939,1.270544996,50120,39447.638736
101,Institution Hill,0,0.0,0.0,103.6613003,1.300496861,2.809490369,3380,1203.06516701
102,International Business Park,0,0.0,0.0,103.9055982,1.388126743,1.576660601,10,6.34251911518
103,Istana Negara,0,0.0,0.0,103.7576842,1.36930037,2.471041794,40,16.1875044352
104,Jelebu,0,0.0,0.0,103.777557,1.286024788,1.09002761,33470,30705.6442359
105,Joo Koon,0,0.0,0.0,103.784856,1.44662069,1.28756219,40,31.0664605645
106,Joo Seng,0,0.0,0.0,103.8373669,1.293629478,0.39445921,6720,17035.9819967
107,Jurong Gateway,0,0.0,0.0,103.8343913,1.298021965,0.370263422,20,54.0155975764
108,Jurong Island and Bukom,0,0.0,0.0,103.8812752,1.38083206,1.752868799,0,0.0
109,Jurong Port,0,0.0,0.0,103.8307513,1.354995413,3.879063347,10,2.57794191676
110,Jurong River,0,0.0,0.0,103.856696,1.305659595,0.116892764,10,85.548494687
111,Jurong West Central,2,0.002873563,0.019047619,103.7872984,1.311734894,0.487393182,68200,139928.096081
112,Kaki Bukit,10,0.014367816,0.095238095,103.8472136,1.373062941,0.31842353,40820,128194.043951
113,Kallang Bahru,2,0.002873563,0.019047619,103.8390293,1.301491105,0.331029505,30,90.6263627467
114,Kallang Way,0,0.0,0.0,103.7076367,1.355761594,1.984519091,40,20.1560167304
115,Kampong Bugis,16,0.022988506,0.152380952,103.7467416,1.391690948,1.093934278,890,813.577211994
