subzone,cases,normalize by sum,normalize by max,population,pop_density,lon,lat,area
Admiralty,2,0.002873563,0.019047619,14410,20943.785,103.8254828,1.452254864,1.267823323
Airport Road,0,0,0,0,0,103.8977353,1.352038409,0.496902604
Alexandra Hill,0,0,0,15650,4590.355261,103.8088676,1.287774727,1.035353002
Alexandra North,0,0,0,1000,1094.28202,103.8207942,1.292470169,0.295125382
Aljunied,45,0.064655172,0.428571429,41710,17747.3492,103.8835249,1.313763843,2.973680524
Anak Bukit,0,0,0,21990,22737.05265,103.7712579,1.337743053,2.781762582
Anchorvale,0,0,0,38040,18533.49843,103.8887111,1.393893125,1.506408688
Ang Mo Kio Town Centre,0,0,0,5020,4552.731727,103.8472136,1.373062941,0.31842353
Anson,0,0,0,80,18.14661615,103.8437544,1.274129081,0.103736566
Balestier,2,0.002873563,0.019047619,32340,13219.67191,103.8514647,1.324511639,1.935949488
Bangkit,0,0,0,23800,28107.16379,103.7741923,1.377238257,0.76689422
Bayfront Subzone,0,0,0,0,0,103.8584013,1.282965858,0.523716636
Bayshore,0,0,0,7480,268.6400064,103.9486368,1.314086272,2.562788797
Bedok North,2,0.002873563,0.019047619,85930,24790.42199,103.9356975,1.329765921,3.219167983
Bedok Reservoir,0,0,0,25400,15451.78293,103.9291451,1.340509488,2.390858835
Bedok South,2,0.002873563,0.019047619,51190,113682.307,103.9458053,1.322111119,3.01179668
Bencoolen,0,0,0,1460,537.7550558,103.8515418,1.301620839,0.171489257
Bendemeer,2,0.002873563,0.019047619,33830,11039.52003,103.8608331,1.322210094,1.383495702
Benoi Sector,0,0,0,0,0,103.6875566,1.316263427,2.052499702
Bidadari,0,0,0,10,7.861092916,103.8759814,1.340950957,0.575276945
Bishan East,0,0,0,28820,817.2193614,103.8534381,1.351766598,1.803165381
Boat Quay,0,0,0,180,92.30464138,103.84806,1.287627427,0.161583816
Boon Keng,0,0,0,10970,3983.349687,103.8724533,1.315365016,0.412981249
Boon Lay Place,0,0,0,31100,36577.25192,103.7106935,1.34607864,0.910707446
Boon Teck,0,0,0,15110,2611.58196,103.8530375,1.335593115,0.420684536
Boulevard,0,0,0,400,47.0891802,103.8321121,1.305113366,0.462776619
Braddell,0,0,0,10760,24240.98038,103.8498473,1.340263351,0.448403405
Bras Basah,0,0,0,10,0.307504792,103.8491356,1.295824543,0.224285179
Brickworks,0,0,0,0,0,103.7424823,1.356256899,1.231619166
Bugis,0,0,0,2330,707.6320886,103.856074,1.299226251,0.281529254
Bukit Batok Central,0,0,0,26060,455.6985994,103.7510717,1.348211169,0.804177584
Bukit Batok East,0,0,0,14570,15998.55153,103.7567944,1.348633596,0.382045613
