subzone,cases,normalize by sum,normalize by max,lat,lon
Admiralty,2,0.002873563,0.019047619,1.44069,103.800934
Airport Road,0,0,0,1.343296,103.8989023
Alexandra Hill,0,0,0,1.2882934,103.8054785
Alexandra North,0,0,0,1.2882934,103.8054785
Aljunied,45,0.064655172,0.428571429,1.316441,103.88298
Anak Bukit,0,0,0,1.3418387,103.7776653
Anchorvale,0,0,0,1.3974992,103.8868523
Ang Mo Kio Town Centre,0,0,0,1.3691149,103.8454342
Anson,0,0,0,1.2735406,103.8447021
Balestier,2,0.002873563,0.019047619,1.323004,103.8523054
Bangkit,0,0,0,1.380382,103.772636
Bayfront Subzone,0,0,0,1.2812991,103.8578594
Bayshore,0,0,0,1.3118799,103.9381523
Bedok North,2,0.002873563,0.019047619,1.3236038,103.9273405
Bedok Reservoir,0,0,0,1.3413025,103.9245499
Bedok South,2,0.002873563,0.019047619,1.3236038,103.9273405
Bencoolen,0,0,0,1.3000848,103.8513221
Bendemeer,2,0.002873563,0.019047619,1.3201284,103.8649128
Benoi Sector,0,0,0,1.3195872,103.6867912
Bidadari,0,0,0,1.3410855,103.8752552
Bishan East,0,0,0,1.350772,103.848183
Boat Quay,0,0,0,1.2878119,103.8494162
Boon Keng,0,0,0,1.3193154,103.8620583
Boon Lay Place,0,0,0,1.3468707,103.7129422
Boon Teck,0,0,0,1.3269668,103.8501196
Boulevard,0,0,0,1.345871,103.7508974
Braddell,0,0,0,1.3341351,103.8573237
Bras Basah,0,0,0,1.2975068,103.8504356
Brickworks,0,0,0,1.2868108,103.8053953
Bugis,0,0,0,1.3010601,103.85599
Bukit Batok Central,0,0,0,1.3502895,103.749804
Bukit Batok East,0,0,0,1.3590288,103.7636796
Bukit Batok South,0,0,0,1.3590288,103.7636796
Bukit Batok West,0,0,0,1.3590288,103.7636796
Bukit Ho Swee,0,0,0,1.2874125,103.8297425
Bukit Merah,0,0,0,1.2819046,103.8239182
Cairnhill,0,0,0,1.3069018,103.8385608
Cecil,0,0,0,1.2801967,103.8486153
Central Subzone,0,0,0,1.352083,103.819836
Central Water Catchment,0,0,0,1.3551526,103.7972022
Changi Airport,0,0,0,1.3644202,103.9915308
Changi Bay,0,0,0,1.3219708,104.0290022
Changi Point,0,0,0,1.3183581,103.9088538
Changi West,0,0,0,1.3450101,103.9832089
Chatsworth,0,0,0,1.2997921,103.8212674
Cheng San,0,0,0,1.370672,103.8482341
Chin Bee,0,0,0,1.3361398,103.7141127
China Square,0,0,0,1.2838407,103.8479038
Chinatown,0,0,0,1.2838955,103.8434637
Choa Chu Kang Central,0,0,0,1.3812993,103.7463562
Choa Chu Kang North,0,0,0,1.3839803,103.7469611
Chong Boon,0,0,0,1.3153584,103.788311
City Hall,0,0,0,1.2930339,103.851963
City Terminals,0,0,0,1.3644202,103.9565119
Clarke Quay,0,0,0,1.2908825,103.8444432
Clementi Central,0,0,0,1.3303775,103.776821
Clementi North,0,0,0,1.3161811,103.7649377
Clementi West,0,0,0,1.3161811,103.7649377
Clementi Woods,0,0,0,1.3018597,103.7661558
Clifford Pier,0,0,0,1.2839964,103.8515116
Commonwealth,0,0,0,1.302559,103.798225
Compassvale,2,0.002873563,0.019047619,1.394564,103.900156
Coney Island,0,0,0,1.3553567,103.8678708
Coronation Road,0,0,0,1.321882,103.8053033
Crawford,16,0.022988506,0.152380952,1.3062872,103.8649646
Dairy Farm,0,0,0,1.364674,103.772895
Defu Industrial Park,0,0,0,1.352378,103.889723
Depot Road,0,0,0,1.2815449,103.8097816
Dhoby Ghaut,0,0,0,1.2985098,103.8459595
Dover,0,0,0,1.311322,103.7786532
Dunearn,0,0,0,1.3257813,103.8085672
East Coast,0,0,0,1.3050191,103.9225352
Everton Park,0,0,0,1.2770868,103.8399398
Faber,0,0,0,1.3188254,103.7587828
Fajar,0,0,0,1.384729,103.77108
Farrer Court,0,0,0,1.3174935,103.8077246
Farrer Park,0,0,0,1.3124127,103.8547
Fernvale,5,0.007183908,0.047619048,1.391935,103.876142
Flora Drive,0,0,0,1.3571327,103.965079
Fort Canning,0,0,0,1.3,103.85
Frankel,105,0.150862069,1,1.31656,103.9178494
Gali Batu,0,0,0,1.3904942,103.7716123
Geylang Bahru,84,0.120689655,0.8,1.320865,103.8712434
Geylang East,20,0.028735632,0.19047619,1.3200544,103.8917746
Ghim Moh,0,0,0,1.3118053,103.7876508
Gombak,0,0,0,1.3707004,103.761899
Goodwood Park,0,0,0,1.312144,103.8335345
Greenwood Park,0,0,0,1.334482,103.8051526
Guilin,0,0,0,1.3560181,103.7533996
Gul Basin,0,0,0,1.306178, 103.668642
Gul Circle,0,0,0,1.3198713,103.6694122
Henderson Hill,0,0,0,1.2807296,103.81783
Hillcrest,0,0,0,1.3318642,103.8078398
Hillview,0,0,0,1.362472,103.767389
Holland Drive,0,0,0,1.3100006,103.7928594
Holland Road,0,0,0,1.3130045,103.797956
Hong Kah,0,0,0,1.3559341,103.7179451
Hong Kah North,0,0,0,1.3559341,103.7179451
Hougang Central,17,0.024425287,0.161904762,1.3712274,103.8917513
Hougang East,0,0,0,1.3612182,103.8862529
Hougang West,17,0.024425287,0.161904762,1.3612182,103.8862529
Institution Hill,0,0,0,1.2951611,103.8397034
International Business Park,0,0,0,1.3274096,103.7477861
Istana Negara,0,0,0,1.3070229,103.8407463
Jelebu,0,0,0,1.3797961,103.7638324
Joo Koon,0,0,0,1.3277399,103.6784799
Joo Seng,0,0,0,1.3360248,103.8816405
Jurong Gateway,0,0,0,1.3355346,103.7418606
Jurong Island and Bukom,0,0,0,1.2596608,103.6629495
Jurong Port,0,0,0,1.3132692,103.7193335
Jurong River,0,0,0,1.3252038,103.709397
Jurong West Central,2,0.002873563,0.019047619,1.3380754,103.7411914
Kaki Bukit,10,0.014367816,0.095238095,1.3362352,103.9071892
Kallang Bahru,2,0.002873563,0.019047619,1.3179742,103.8665875
Kallang Way,0,0,0,1.3229591,103.878167
Kampong Bugis,16,0.022988506,0.152380952,1.3072491,103.8661877
Kampong Glam,16,0.022988506,0.152380952,1.3029735,103.859875
Kampong Java,0,0,0,1.312959,103.843557
Kampong Tiong Bahru,0,0,0,1.2867753,103.8249979
Kampong Ubi,0,0,0,1.2880781,103.8374468
Kangkar,0,0,0,1.3837389,103.9021944
Katong,15,0.021551724,0.142857143,1.307786,103.8954833
Keat Hong,0,0,0,1.378686,103.748947
Kebun Bahru,14,0.020114943,0.133333333,1.3743012,103.8402669
Kembangan,3,0.004310345,0.028571429,1.320982,103.912842
Kent Ridge,0,0,0,1.293383,103.784394
Khatib,47,0.067528736,0.447619048,1.4173658,103.8329446
Kian Teck,0,0,0,1.3305916,103.6934318
Kim Keat,0,0,0,1.3308209,103.8550567
Kovan,0,0,0,1.3600696,103.8853633
Kranji,0,0,0,1.4252979,103.7621389
Lakeside,0,0,0,1.3442374,103.7207253
Lavender,0,0,0,1.3072265,103.862951
Leedon Park,0,0,0,1.3163348,103.7960521
Leonie Hill,0,0,0,1.296791,103.833203
Lim Chu Kang,0,0,0,1.4304941,103.7173325
Little India,0,0,0,1.3063483,103.8496785
Liu Fang,0,0,0,1.3141514,103.6981553
