,0,1,2
280,Raffles Place,-0.00819610686341,-0.00761830328998
295,Xilin,-0.00502656202624,-0.00482196972274
165,Kampong Ubi,-0.00415485430583,-0.00407869358299
239,Central Subzone,-0.00275851929246,-0.00337443858124
148,Tanjong Pagar,-0.00269606757089,-0.0027591716263
229,One North,-0.00266134085763,-0.00279097749018
250,Yio Chu Kang,-0.00222981555827,-0.0019113521656
117,Singapore Polytechnic,-0.00177890179659,-0.00162490658189
134,Joo Seng,-0.00164878469345,-0.00181621660717
246,Western Water Catchment,-0.00158545618537,-0.00148568223667
220,Cecil,-0.00157353367581,-0.0016950583085
205,Yio Chu Kang East,-0.00156273407114,-0.00165416730393
260,Tampines West,-0.00150265403084,-0.0011779166714
128,Kallang Way,-0.00146749186019,-0.00162889950067
110,National University of S'pore,-0.00146738685914,-0.00139743243223
269,Tuas North,-0.00141749999352,-0.00130367891234
61,Singapore General Hospital,-0.00128005095387,-0.00131587422935
178,Changi West,-0.00125986432546,-0.00132370854549
153,Pasir Panjang 2,-0.0012479524158,-0.00130083083829
159,Loyang West,-0.00113641856227,-0.00110000303055
68,Kaki Bukit,-0.00112986310925,-0.00163715802148
101,Joo Koon,-0.00110432750514,-0.00103067506405
58,Senoko South,-0.00108387620287,-0.00104696425102
268,Telok Blangah Drive,-0.00108314217511,-0.00108329022573
19,Gul Circle,-0.00101815050267,-0.000800613204642
147,Tai Seng,-0.00101739377073,-0.00105303185253
188,Benoi Sector,-0.000959980973672,-0.00124776936025
160,Simei,-0.000928025807403,-0.000864273916784
176,Kallang Bahru,-0.000926308105656,-0.000672949482977
161,Tuas View,-0.000920655986361,-0.000868459743749
36,Toh Tuck,-0.000890777614389,-0.000958410880035
27,Jurong Island and Bukom,-0.000866742656905,-0.000896101919009
91,Serangoon North Ind Estate,-0.000706461729111,-0.00063534681978
177,Tuas View Extension,-0.00068714165668,-0.000725689932121
264,Pioneer Sector,-0.000682647459634,-0.000629162239422
79,Kent Ridge,-0.000675602235276,-0.000493920721555
141,Pandan,-0.000621243128171,-0.000606204247031
40,Macpherson,-0.000614258850215,-0.000477683563983
313,Port,-0.000606298032213,-0.000903859618405
21,Senoko North,-0.000604373011425,-0.000712903810884
214,China Square,-0.000597054757828,-0.00055773864008
187,Bukit Merah,-0.000573982250917,-0.000716340374804
0,Defu Industrial Park,-0.000572108056082,-0.000498802837578
67,Gul Basin,-0.00057080494075,-0.000566494918865
157,Kian Teck,-0.000569267221412,-0.000827215239841
303,Tukang,-0.000563672853924,-0.000634515849078
34,Tiong Bahru Station,-0.000551754122278,-0.000547142295893
155,International Business Park,-0.000530943575321,-0.000630076688519
78,Samulun,-0.000529744838072,-0.000543970234341
47,North Coast,-0.000526710604083,0.00121243068161
87,Penjuru Crescent,-0.000526158892069,-0.000511454219949
162,Anak Bukit,-0.000480917852761,-0.000707204472321
69,Bukit Batok South,-0.000468750396557,-0.000524075970285
275,Tuas Bay,-0.000462393820542,-0.000500574818445
85,Ghim Moh,-0.000452128020773,-0.000371846246281
93,Potong Pasir,-0.000448384815962,-0.000344090223991
66,Liu Fang,-0.000436509480698,-0.000294318235851
62,Northland,-0.00042660520637,-0.00021260010824
185,Senoko West,-0.000412141718011,-0.000495241111626
102,Pasir Panjang 1,-0.000406269899062,-0.000527654234421
190,Holland Road,-0.000402912764294,-0.000342190910875
121,Redhill,-0.000388939480186,-0.00032685797386
97,Jurong River,-0.000370575066703,-0.000378130041922
84,Keat Hong,-0.000370220252343,-0.000484152148623
125,Commonwealth,-0.000356025636927,-0.000353337399559
231,Newton Circus,-0.000353795528008,-0.000376545392669
247,Lorong Chuan,-0.000351708001799,-0.000391936881373
22,Dover,-0.000351380555323,-0.000392468897514
138,Gali Batu,-0.00034802948221,-0.000444592958283
3,Sembawang North,-0.000346125856988,-0.000265528347972
243,Tuas Promenade,-0.000339551739272,0.000340258839127
170,Anson,-0.000334998515711,-0.000348947503328
96,Shipyard,-0.000331752212532,-0.000282787378721
301,Alexandra Hill,-0.000326809164346,-0.0003329003216
200,Plab,-0.000325622462891,-0.000252526535373
204,Balestier,-0.000321431261734,-0.000280678913655
127,Sennett,-0.000261496912119,-0.000327555574284
253,Everton Park,-0.000261370824659,-0.000428031297388
173,Seletar Aerospace Park,-0.00025419258007,-0.000189684853354
211,Kranji,-0.000252321496275,0.000362117819924
77,Tagore,-0.000248775277279,-0.000321182280989
281,Safti,-0.000247323492944,-0.000322537781488
146,Pang Sua,-0.000246061967924,-0.000148507529422
248,City Terminals,-0.000239174871997,-0.000145949980108
129,Geylang Bahru,-0.000236049222357,-0.000419759167475
169,Loyang East,-0.000233633136535,-0.000223520482941
184,Tanglin Halt,-0.00022776952362,-0.000210827317758
16,Jurong Port,-0.000217738506344,-0.000271774336392
238,The Wharves,-0.000217320045269,-0.000189751216598
277,Moulmein,-0.000211774567317,-0.000362680769988
302,Airport Road,-0.000203313921487,-0.000202643064132
221,Depot Road,-0.000201071387338,-0.000179839704267
156,Teban Gardens,-0.000200805721441,-0.000181566887989
42,Phillip,-0.000186630476512,-0.000411772714767
279,Chin Bee,-0.000182085430172,-0.000258579586528
299,Henderson Hill,-0.000176119727527,-0.000276170182082
183,Serangoon North,-0.000174330915854,-0.000280593481771
44,Chinatown,-0.000162787826522,-0.000113473047015
89,Yio Chu Kang North,-0.000149090411726,-7.1033358744e-05
49,Woodleigh,-0.000129934881877,-8.93367619918e-05
100,Seletar Hills,-0.00012924326729,2.64346362706e-05
50,Wenya,-0.00012463210725,-0.000181416188589
261,Mandai East,-0.000112225603006,-7.52805215972e-05
225,Paya Lebar West,-0.000109436464897,-0.000165793104065
150,Mount Pleasant,-0.000104658691618,-0.00018191834526
227,Chatsworth,-0.000104071087381,-3.80410617986e-06
298,Malcolm,-0.000100457279604,-9.42348245854e-05
10,Gombak,-9.96309916596e-05,-8.21709291172e-05
35,Changi Bay,-9.92170751503e-05,-0.000118534942359
73,Changi Airport,-9.70668581044e-05,-0.000100425846831
81,Clifford Pier,-9.5392987367e-05,-7.48982804757e-05
8,Braddell,-9.26631774873e-05,-7.35316736528e-05
305,Greenwood Park,-9.05866227633e-05,-0.000193670714232
57,Ulu Pandan,-8.27763699896e-05,-7.52246097421e-05
172,Queensway,-7.47372269546e-05,-6.86941576272e-06
276,Alexandra North,-6.5492750508e-05,-2.6527901915e-05
24,Bidadari,-6.18240467234e-05,-4.30198695519e-05
308,Mei Chin,-5.87348270645e-05,9.6052689578e-05
297,Maxwell,-5.41638155058e-05,-8.03447191654e-05
294,Woodlands Regional Centre,-5.21041106855e-05,-0.000424294271905
23,Clarke Quay,-4.93555793593e-05,-0.000106161934162
285,Margaret Drive,-4.86228043306e-05,0.000130993434315
167,Cheng San,-4.73049145856e-05,3.47553439152e-05
48,Clementi Woods,-3.42871500127e-05,-9.03678191981e-05
43,Faber,-3.26837117744e-05,-8.9552557064e-05
208,Straits View,-2.53047739236e-05,-4.2531935141e-05
314,Tengeh,-2.43021579678e-05,0.000165939339628
289,Kim Keat,-1.89304557937e-05,0.000135472673731
259,Reservoir View,-1.69461524149e-05,-0.00013163334173
13,Pulau Punggol Barat,-1.61623139236e-05,-3.82207161359e-06
37,Paya Lebar East,-1.22591258271e-05,7.41850669834e-05
258,Simpang North,-1.09400022427e-05,-2.58073912421e-06
291,Bukit Batok Central,-8.89759337454e-06,-0.000101894071046
60,Yio Chu Kang West,-6.9931942253e-06,-8.53872478783e-05
296,Lakeside,-5.20833185777e-06,2.69580760626e-05
290,Mandai West,-4.0288764604e-06,3.01284246269e-06
109,Tengah,-2.05456102627e-06,-2.2338281277e-05
151,Goodwood Park,-1.59946792003e-06,4.43844515039e-06
55,Turf Club,1.87865053784e-06,-0.000105542470461
213,Sunset Way,7.00985110162e-06,7.4491744682e-06
212,Telok Blangah Way,9.89778714479e-06,5.80356852385e-05
111,Boat Quay,1.45284661071e-05,-0.000145296464297
139,Lorong Halus North,1.53490170186e-05,5.95463859778e-05
196,Khatib,1.72017474294e-05,-0.000260657055632
116,Institution Hill,1.9424611326e-05,0.000143606941279
235,Paterson,2.87135412921e-05,6.78062518186e-05
287,Tanglin,2.97902552478e-05,5.05520640517e-05
252,People's Park,3.16995356875e-05,-1.37060879611e-05
217,Mandai Estate,3.30307834532e-05,2.02529569679e-05
106,Brickworks,3.3232953633e-05,6.46344451404e-05
14,Pasir Ris Wafer Fab Park,3.52391883358e-05,6.24828054732e-05
18,Telok Blangah Rise,3.54455346248e-05,0.000135230953422
309,Sungei Road,4.10311099275e-05,0.000160710284099
203,Leonie Hill,4.38535684776e-05,0.000108450792865
94,Sengkang West,4.49184919685e-05,1.75963437183e-05
12,Coronation Road,4.653946256e-05,5.42874724727e-05
254,Mount Emily,4.95291471681e-05,1.84745633436e-05
262,Monk's Hill,5.12105064792e-05,1.45830608937e-05
