subzone,cases,normalize by sum,normalize by max,lat,lon,area,population
Admiralty,2,0.002873563,0.019047619,103.872642,1.37430497,0.688032273,14410
Airport Road,0,0,0,103.8778216,1.39436937,2.402725083,0
Alexandra Hill,0,0,0,103.7831661,1.327545147,3.409322179,15650
Alexandra North,0,0,0,103.8459368,1.384564118,0.913841205,1000
Aljunied,45,0.064655172,0.428571429,103.7081117,1.318587972,2.350210137,41710
Anak Bukit,0,0,0,103.8177066,1.446502632,0.967143822,21990
Anchorvale,0,0,0,103.6875566,1.316263427,2.052499702,38040
Ang Mo Kio Town Centre,0,0,0,103.7477558,1.384213183,1.102634704,5020
Anson,0,0,0,103.7885211,1.418237629,4.408535417,80
Balestier,2,0.002873563,0.019047619,103.8753729,1.301240027,2.446354207,32340
Bangkit,0,0,0,103.8981762,1.375360858,0.846759217,23800
Bayfront Subzone,0,0,0,104.0294315,1.338059508,1.815397844,0
Bayshore,0,0,0,103.6321377,1.259379081,27.84395407,7480
Bedok North,2,0.002873563,0.019047619,103.8379018,1.264955267,3.466258059,85930
Bedok Reservoir,0,0,0,103.8245813,1.464596147,1.643823248,25400
Bedok South,2,0.002873563,0.019047619,103.8317306,1.283235809,0.450289947,51190
Bencoolen,0,0,0,103.8128462,1.268322164,2.714990746,1460
Bendemeer,2,0.002873563,0.019047619,103.7417864,1.304642213,3.064444823,33830
Benoi Sector,0,0,0,103.728686,1.319310405,2.573384318,0
Bidadari,0,0,0,103.9193863,1.407058604,1.27208775,10
Bishan East,0,0,0,104.0021593,1.351334483,35.26592903,28820
Boat Quay,0,0,0,103.7022221,1.307374558,1.950064453,180
Boon Keng,0,0,0,103.7248434,1.18609505,2.753963589,10970
Boon Lay Place,0,0,0,103.8394762,1.38242791,0.850255237,31100
Boon Teck,0,0,0,103.8275607,1.24900114,5.785765191,15110
Boulevard,0,0,0,103.8474348,1.410917374,8.494520361,400
Braddell,0,0,0,103.8913092,1.369332851,0.443876437,10760
Bras Basah,0,0,0,103.7163988,1.256789215,32.51981843,10
Brickworks,0,0,0,103.7784504,1.202854561,2.199063531,0
Bugis,0,0,0,103.8472216,1.228940738,3.292671485,2330
Bukit Batok Central,0,0,0,104.0074278,1.389102316,57.18692143,26060
Bukit Batok East,0,0,0,103.7106935,1.34607864,0.910707446,14570
Bukit Batok South,0,0,0,103.6448491,1.317995929,3.218768761,13940
Bukit Batok West,0,0,0,103.8849887,1.327210654,1.269524838,15190
Bukit Ho Swee,0,0,0,103.8974615,1.39144181,1.462589953,16290
Bukit Merah,0,0,0,103.8468292,1.284363479,0.133648242,1190
Cairnhill,0,0,0,103.8776836,1.42465144,2.06005498,3330
Cecil,0,0,0,103.8759814,1.340950957,0.575276945,160
Central Subzone,0,0,0,103.8514647,1.324511639,1.935949488,480
Central Water Catchment,0,0,0,103.7741923,1.377238257,0.76689422,10
Changi Airport,0,0,0,103.8534381,1.351766598,1.803165381,0
Changi Bay,0,0,0,103.8109106,1.428844724,7.271139272,0
Changi Point,0,0,0,103.7774801,1.29685268,1.764429376,790
Changi West,0,0,0,103.7781092,1.312183431,0.95122892,1740
Chatsworth,0,0,0,103.8551039,1.284967072,0.2631062,5740
Cheng San,0,0,0,103.8305861,1.4323868,1.525180515,29770
Chin Bee,0,0,0,103.8584013,1.282965858,0.523716636,0
China Square,0,0,0,103.7712579,1.337743053,2.781762582,1590
Chinatown,0,0,0,103.9528087,1.353547387,4.360866597,11880
Choa Chu Kang Central,0,0,0,103.8161395,1.455765245,1.401694571,21400
Choa Chu Kang North,0,0,0,103.7464725,1.375269733,1.1493752,34380
Chong Boon,0,0,0,103.846851,1.42781558,1.775721115,27900
City Hall,0,0,0,103.7970707,1.316065213,2.059464442,60
City Terminals,0,0,0,103.7134855,1.335526159,1.294184363,40
Clarke Quay,0,0,0,103.817015,1.287639671,0.389298779,130
Clementi Central,0,0,0,103.6511983,1.326764411,3.275898838,13490
Clementi North,0,0,0,103.866375,1.413100892,3.639499935,28730
Clementi West,0,0,0,103.8374542,1.306255375,0.454658407,16470
Clementi Woods,0,0,0,103.8485652,1.285161663,0.039628309,16400
Clifford Pier,0,0,0,103.8641662,1.34910494,1.185850241,0
Commonwealth,0,0,0,103.8447402,1.289776318,0.291585081,8130
Compassvale,2,0.002873563,0.019047619,103.7449336,1.43105189,3.300171384,18510
Coney Island,0,0,0,103.8542014,1.292967899,0.714000196,0
Coronation Road,0,0,0,103.8596168,1.30239568,0.172161438,6170
Crawford,16,0.022988506,0.152380952,103.856074,1.299226251,0.281529254,9740
Dairy Farm,0,0,0,103.902939,1.371106755,1.34001168,5390
Defu Industrial Park,0,0,0,103.8653525,1.314549381,0.843550181,20
Depot Road,0,0,0,103.8466554,1.332948668,1.112630534,5200
Dhoby Ghaut,0,0,0,103.7273656,1.362468981,7.406328832,210
Dover,0,0,0,103.8666088,1.362911459,3.037828571,13200
Dunearn,0,0,0,103.7809842,1.450862077,2.462771213,3900
East Coast,0,0,0,103.799745,1.304928233,0.312014812,0
Everton Park,0,0,0,103.8571668,1.340612769,0.441777828,9010
Faber,0,0,0,103.8315551,1.447647479,0.761830771,4320
Fajar,0,0,0,103.6924053,1.381525664,71.82417695,26770
Farrer Court,0,0,0,103.8082258,1.332542681,2.649253285,4680
Farrer Park,0,0,0,103.7944321,1.277551372,0.857319601,3130
Fernvale,5,0.007183908,0.047619048,103.7510717,1.348211169,0.804177584,35590
Flora Drive,0,0,0,103.8579844,1.337000239,0.413398375,12950
Fort Canning,0,0,0,103.9290401,1.38848145,5.351322121,160
Frankel,105,0.150862069,1,103.7985731,1.288938828,0.634689982,33570
Gali Batu,0,0,0,103.8036947,1.29386105,0.752298195,130
Geylang Bahru,84,0.120689655,0.8,103.7678359,1.302294064,1.05858515,12870
Geylang East,20,0.028735632,0.19047619,103.7821388,1.315661152,1.234429618,33380
Ghim Moh,0,0,0,103.9359427,1.348218496,3.492053845,11900
